YR,PRD,MONTH,DATE,SCENRO,MU,BU,SCTR,CNTRY,SUBBRAND,AMT
2017,4.0,3,2017-03-01,Actual,CE FOBO,FOBO BU,Europe,North Cyprus,L3_24,15267.260431269504
2017,4.0,3,2017-03-01,Actual,CE FOBO,FOBO BU,Europe,North Cyprus,L3_2514,1479.9612371700491
2017,4.0,3,2017-03-01,Actual,CE FOBO,FOBO BU,Europe,North Cyprus,L3_26,1392.9363944404136
2017,4.0,3,2017-03-01,Actual,CE FOBO,FOBO BU,Europe,North Cyprus,L3_410,5559.234183145126
2018,4.0,3,2018-03-01,Actual,CE FOBO,FOBO BU,Europe,North Cyprus,L3_1233,87881.8771706128
2018,4.0,3,2018-03-01,Actual,CE FOBO,FOBO BU,Europe,North Cyprus,L3_1259,7239.356829373102
2018,4.0,3,2018-03-01,Actual,CE FOBO,FOBO BU,Europe,North Cyprus,L3_2074,25937.772220382805
2018,4.0,3,2018-03-01,Actual,CE FOBO,FOBO BU,Europe,North Cyprus,L3_24,13700.76835290554
2018,4.0,3,2018-03-01,Actual,CE FOBO,FOBO BU,Europe,North Cyprus,L3_2514,1396.6572562749643
2018,4.0,3,2018-03-01,Actual,CE FOBO,FOBO BU,Europe,North Cyprus,L3_26,1242.30555183758
2018,4.0,3,2018-03-01,Actual,CE FOBO,FOBO BU,Europe,North Cyprus,L3_410,3878.485836861497
2017,4.0,3,2017-03-01,Actual,NE FOBO,FOBO BU,Europe,Norway,L3_1077,32613.611547484026
2017,4.0,3,2017-03-01,Actual,NE FOBO,FOBO BU,Europe,Norway,L3_1233,82653.00477763766
2017,4.0,3,2017-03-01,Actual,NE FOBO,FOBO BU,Europe,Norway,L3_1259,1252836.314160321
2017,4.0,3,2017-03-01,Actual,NE FOBO,FOBO BU,Europe,Norway,L3_24,38663.631927750735
2017,4.0,3,2017-03-01,Actual,NE FOBO,FOBO BU,Europe,Norway,L3_26,15381.14728114235
2018,4.0,3,2018-03-01,Actual,NE FOBO,FOBO BU,Europe,Norway,L3_1077,21987.559262572824
2018,4.0,3,2018-03-01,Actual,NE FOBO,FOBO BU,Europe,Norway,L3_1233,65844.45714849282
2018,4.0,3,2018-03-01,Actual,NE FOBO,FOBO BU,Europe,Norway,L3_1259,1569815.146354075
2018,4.0,3,2018-03-01,Actual,NE FOBO,FOBO BU,Europe,Norway,L3_24,26441.838066402262
2018,4.0,3,2018-03-01,Actual,NE FOBO,FOBO BU,Europe,Norway,L3_26,11545.370650849225
2018,4.0,3,2018-03-01,Actual,NE FOBO,FOBO BU,Europe,Norway,L3_738,3423.6683972864257
2017,4.0,3,2017-03-01,Actual,Portugal,SWE,Europe,Portugal,L3_1233,160846.4949666439
2017,4.0,3,2017-03-01,Actual,Portugal,SWE,Europe,Portugal,L3_1259,51741.40560608089
2017,4.0,3,2017-03-01,Actual,Portugal,SWE,Europe,Portugal,L3_24,264492.654258804
2017,4.0,3,2017-03-01,Actual,Portugal,SWE,Europe,Portugal,L3_26,27421.428219199315
2017,4.0,3,2017-03-01,Actual,Portugal,SWE,Europe,Portugal,L3_410,4629.180080730946
2017,4.0,3,2017-03-01,Actual,Portugal,SWE,Europe,Portugal,L3_4351,47161.46013117017
2017,4.0,3,2017-03-01,Actual,Portugal,SWE,Europe,Portugal,L3_738,1264.414982423753
2017,4.0,3,2017-03-01,Actual,Portugal,SWE,Europe,Portugal,L3_956,584375.7088613836
2018,4.0,3,2018-03-01,Actual,Portugal,SWE,Europe,Portugal,L3_1233,168680.5280621051
2018,4.0,3,2018-03-01,Actual,Portugal,SWE,Europe,Portugal,L3_1259,65007.488394045926
2018,4.0,3,2018-03-01,Actual,Portugal,SWE,Europe,Portugal,L3_24,323984.12150500517
2018,4.0,3,2018-03-01,Actual,Portugal,SWE,Europe,Portugal,L3_26,40978.9014673871
2018,4.0,3,2018-03-01,Actual,Portugal,SWE,Europe,Portugal,L3_410,2007.1572985424752
2018,4.0,3,2018-03-01,Actual,Portugal,SWE,Europe,Portugal,L3_4351,41163.75842708502
2018,4.0,3,2018-03-01,Actual,Portugal,SWE,Europe,Portugal,L3_738,1037.667396955334
2018,4.0,3,2018-03-01,Actual,Portugal,SWE,Europe,Portugal,L3_956,651613.9489555507
2017,4.0,3,2017-03-01,Actual,CE FOBO,FOBO BU,Europe,Rhodes,L3_1233,10680.513972934703
2017,4.0,3,2017-03-01,Actual,CE FOBO,FOBO BU,Europe,Rhodes,L3_1259,2836.276795840877
2017,4.0,3,2017-03-01,Actual,CE FOBO,FOBO BU,Europe,Rhodes,L3_24,5025.057589483844
2017,4.0,3,2017-03-01,Actual,CE FOBO,FOBO BU,Europe,Rhodes,L3_410,2575.4439849809446
2017,4.0,3,2017-03-01,Actual,CE FOBO,FOBO BU,Europe,Rhodes,L3_837,5021.380316020091
2018,4.0,3,2018-03-01,Actual,CE FOBO,FOBO BU,Europe,Rhodes,L3_1233,12156.072784654078
2018,4.0,3,2018-03-01,Actual,CE FOBO,FOBO BU,Europe,Rhodes,L3_1259,4510.197037047474
2018,4.0,3,2018-03-01,Actual,CE FOBO,FOBO BU,Europe,Rhodes,L3_24,5680.05607489803
2018,4.0,3,2018-03-01,Actual,CE FOBO,FOBO BU,Europe,Rhodes,L3_410,2306.2422069276454
2018,4.0,3,2018-03-01,Actual,CE FOBO,FOBO BU,Europe,Rhodes,L3_837,2130.282558311554
2017,4.0,3,2017-03-01,Actual,CE FOBO,FOBO BU,Europe,Serbia,L3_1233,958766.3804216889
2017,4.0,3,2017-03-01,Actual,CE FOBO,FOBO BU,Europe,Serbia,L3_1259,22551.971427162513
2017,4.0,3,2017-03-01,Actual,CE FOBO,FOBO BU,Europe,Serbia,L3_2198,170095.17234577643
2017,4.0,3,2017-03-01,Actual,CE FOBO,FOBO BU,Europe,Serbia,L3_24,41490.9160074109
2017,4.0,3,2017-03-01,Actual,CE FOBO,FOBO BU,Europe,Serbia,L3_3190,2897.790113629159
2017,4.0,3,2017-03-01,Actual,CE FOBO,FOBO BU,Europe,Serbia,L3_837,24875.360154417307
2017,4.0,3,2017-03-01,Actual,CE FOBO,FOBO BU,Europe,Serbia,L3_956,328.10155473994917
2018,4.0,3,2018-03-01,Actual,CE FOBO,FOBO BU,Europe,Serbia,L3_1233,1025324.3432685466
2018,4.0,3,2018-03-01,Actual,CE FOBO,FOBO BU,Europe,Serbia,L3_1259,25753.75652504702
2018,4.0,3,2018-03-01,Actual,CE FOBO,FOBO BU,Europe,Serbia,L3_2198,151668.0943692631
2018,4.0,3,2018-03-01,Actual,CE FOBO,FOBO BU,Europe,Serbia,L3_24,43554.95833127867
2018,4.0,3,2018-03-01,Actual,CE FOBO,FOBO BU,Europe,Serbia,L3_3190,20509.38338745923
2018,4.0,3,2018-03-01,Actual,CE FOBO,FOBO BU,Europe,Serbia,L3_837,23667.439222841364
2017,4.0,3,2017-03-01,Actual,CE FOBO,FOBO BU,Europe,Slovenia,L3_1233,48940.81843465796
2017,4.0,3,2017-03-01,Actual,CE FOBO,FOBO BU,Europe,Slovenia,L3_2198,584.7005699034187
2017,4.0,3,2017-03-01,Actual,CE FOBO,FOBO BU,Europe,Slovenia,L3_24,705.1629764746078
2017,4.0,3,2017-03-01,Actual,CE FOBO,FOBO BU,Europe,Slovenia,L3_410,461.77255852289136
2017,4.0,3,2017-03-01,Actual,CE FOBO,FOBO BU,Europe,Slovenia,L3_738,760.8004605045332
2018,4.0,3,2018-03-01,Actual,CE FOBO,FOBO BU,Europe,Slovenia,L3_1233,76512.28927884581
2018,4.0,3,2018-03-01,Actual,CE FOBO,FOBO BU,Europe,Slovenia,L3_1259,15282.9809866646
2018,4.0,3,2018-03-01,Actual,CE FOBO,FOBO BU,Europe,Slovenia,L3_2198,1400.1113044458377
2018,4.0,3,2018-03-01,Actual,CE FOBO,FOBO BU,Europe,Slovenia,L3_24,1338.295069494833
2018,4.0,3,2018-03-01,Actual,CE FOBO,FOBO BU,Europe,Slovenia,L3_738,380.40759969849177
2017,4.0,3,2017-03-01,Actual,Spain,SWE,Europe,Spain,L3_1233,123072.17881975022
2017,4.0,3,2017-03-01,Actual,Spain,SWE,Europe,Spain,L3_1259,50404.42963516094
2017,4.0,3,2017-03-01,Actual,Spain,SWE,Europe,Spain,L3_2198,7808.415461455554
2017,4.0,3,2017-03-01,Actual,Spain,SWE,Europe,Spain,L3_24,140156.657485224
2017,4.0,3,2017-03-01,Actual,Spain,SWE,Europe,Spain,L3_26,42465.15395940911
2017,4.0,3,2017-03-01,Actual,Spain,SWE,Europe,Spain,L3_2748,1073.594781371299
2017,4.0,3,2017-03-01,Actual,Spain,SWE,Europe,Spain,L3_2811,271.35742111825743
2017,4.0,3,2017-03-01,Actual,Spain,SWE,Europe,Spain,L3_3227,179.63692207984332
2017,4.0,3,2017-03-01,Actual,Spain,SWE,Europe,Spain,L3_410,36697.93523208386
2017,4.0,3,2017-03-01,Actual,Spain,SWE,Europe,Spain,L3_738,1296.5559023056928
2017,4.0,3,2017-03-01,Actual,Spain,SWE,Europe,Spain,L3_857,19021.228857438728
2017,4.0,3,2017-03-01,Actual,Spain,SWE,Europe,Spain,L3_956,5881.397363916226
2018,4.0,3,2018-03-01,Actual,Spain,SWE,Europe,Spain,L3_1233,120571.68217649506
2018,4.0,3,2018-03-01,Actual,Spain,SWE,Europe,Spain,L3_1259,71114.53791043515
2018,4.0,3,2018-03-01,Actual,Spain,SWE,Europe,Spain,L3_2198,5375.201651250766
2018,4.0,3,2018-03-01,Actual,Spain,SWE,Europe,Spain,L3_24,113707.79060675013
2018,4.0,3,2018-03-01,Actual,Spain,SWE,Europe,Spain,L3_26,48873.33131388558
2018,4.0,3,2018-03-01,Actual,Spain,SWE,Europe,Spain,L3_2748,1175.8821581791158
2018,4.0,3,2018-03-01,Actual,Spain,SWE,Europe,Spain,L3_2811,339.40811395320986
2018,4.0,3,2018-03-01,Actual,Spain,SWE,Europe,Spain,L3_3227,184.9203609645446
2018,4.0,3,2018-03-01,Actual,Spain,SWE,Europe,Spain,L3_3838,1979.620015075412
2018,4.0,3,2018-03-01,Actual,Spain,SWE,Europe,Spain,L3_410,45905.47575606011
2018,4.0,3,2018-03-01,Actual,Spain,SWE,Europe,Spain,L3_738,902.4113615069778
2018,4.0,3,2018-03-01,Actual,Spain,SWE,Europe,Spain,L3_857,23559.22382760491
2018,4.0,3,2018-03-01,Actual,Spain,SWE,Europe,Spain,L3_956,8736.715673497565
2017,4.0,3,2017-03-01,Actual,NE FOBO,FOBO BU,Europe,Sweden,L3_1077,61079.2586278557
2017,4.0,3,2017-03-01,Actual,NE FOBO,FOBO BU,Europe,Sweden,L3_1233,367523.19781853154
2017,4.0,3,2017-03-01,Actual,NE FOBO,FOBO BU,Europe,Sweden,L3_1259,1071474.178073489
2017,4.0,3,2017-03-01,Actual,NE FOBO,FOBO BU,Europe,Sweden,L3_24,107778.8563825069
2017,4.0,3,2017-03-01,Actual,NE FOBO,FOBO BU,Europe,Sweden,L3_26,16340.619782604103
2017,4.0,3,2017-03-01,Actual,NE FOBO,FOBO BU,Europe,Sweden,L3_738,4184.483596683409
2018,4.0,3,2018-03-01,Actual,NE FOBO,FOBO BU,Europe,Sweden,L3_1077,50839.36232414955
2018,4.0,3,2018-03-01,Actual,NE FOBO,FOBO BU,Europe,Sweden,L3_1233,302332.19093690166
2018,4.0,3,2018-03-01,Actual,NE FOBO,FOBO BU,Europe,Sweden,L3_1259,1297524.1030481923
2018,4.0,3,2018-03-01,Actual,NE FOBO,FOBO BU,Europe,Sweden,L3_24,95702.74668371504
2018,4.0,3,2018-03-01,Actual,NE FOBO,FOBO BU,Europe,Sweden,L3_26,11980.72601494861
2018,4.0,3,2018-03-01,Actual,NE FOBO,FOBO BU,Europe,Sweden,L3_738,1775.2354652596282
2017,4.0,3,2017-03-01,Actual,NE FOBO,FOBO BU,Europe,Switzerland,L3_1077,2555.0710446415364
2017,4.0,3,2017-03-01,Actual,NE FOBO,FOBO BU,Europe,Switzerland,L3_1233,9775.946968362769
2017,4.0,3,2017-03-01,Actual,NE FOBO,FOBO BU,Europe,Switzerland,L3_1259,3286.298986284193
2017,4.0,3,2017-03-01,Actual,NE FOBO,FOBO BU,Europe,Switzerland,L3_24,14624.030488964658
2017,4.0,3,2017-03-01,Actual,NE FOBO,FOBO BU,Europe,Switzerland,L3_26,22938.578261819053
2017,4.0,3,2017-03-01,Actual,NE FOBO,FOBO BU,Europe,Switzerland,L3_410,1734.0246419589582
2018,4.0,3,2018-03-01,Actual,NE FOBO,FOBO BU,Europe,Switzerland,L3_1077,2895.3245088162985
2018,4.0,3,2018-03-01,Actual,NE FOBO,FOBO BU,Europe,Switzerland,L3_1233,11819.475460187527
2018,4.0,3,2018-03-01,Actual,NE FOBO,FOBO BU,Europe,Switzerland,L3_1259,9423.182320909033
2018,4.0,3,2018-03-01,Actual,NE FOBO,FOBO BU,Europe,Switzerland,L3_2198,63.40126661641529
2018,4.0,3,2018-03-01,Actual,NE FOBO,FOBO BU,Europe,Switzerland,L3_24,96436.07391178771
2018,4.0,3,2018-03-01,Actual,NE FOBO,FOBO BU,Europe,Switzerland,L3_26,7396.814438581784
2018,4.0,3,2018-03-01,Actual,NE FOBO,FOBO BU,Europe,Switzerland,L3_410,3670.9333370904455
2018,4.0,3,2018-03-01,Actual,BCCA FOBO,FOBO BU,Europe,Tajikistan,L3_1233,71837.86182750629
2018,4.0,3,2018-03-01,Actual,BCCA FOBO,FOBO BU,Europe,Tajikistan,L3_2198,2770.635351137348
2018,4.0,3,2018-03-01,Actual,BCCA FOBO,FOBO BU,Europe,Tajikistan,L3_24,2296.182539291174
2017,4.0,3,2017-03-01,Actual,BCCA FOBO,FOBO BU,Europe,Turkmenistan,L3_1233,357787.0844575317
2017,4.0,3,2017-03-01,Actual,BCCA FOBO,FOBO BU,Europe,Turkmenistan,L3_2198,50548.77318549097
2018,4.0,3,2018-03-01,Actual,BCCA FOBO,FOBO BU,Europe,Turkmenistan,L3_1233,67485.36487428939
2017,4.0,3,2017-03-01,Actual,BCCA FOBO,FOBO BU,Europe,Uzbekistan,L3_1233,1857170.274668376
2017,4.0,3,2017-03-01,Actual,BCCA FOBO,FOBO BU,Europe,Uzbekistan,L3_2198,62110.18435679415
2017,4.0,3,2017-03-01,Actual,BCCA FOBO,FOBO BU,Europe,Uzbekistan,L3_24,36180.122998457235
2017,4.0,3,2017-03-01,Actual,BCCA FOBO,FOBO BU,Europe,Uzbekistan,L3_956,105726.8955217572
2018,4.0,3,2018-03-01,Actual,BCCA FOBO,FOBO BU,Europe,Uzbekistan,L3_1233,2099183.835494847
2018,4.0,3,2018-03-01,Actual,BCCA FOBO,FOBO BU,Europe,Uzbekistan,L3_2198,7626.98217015491
2018,4.0,3,2018-03-01,Actual,BCCA FOBO,FOBO BU,Europe,Uzbekistan,L3_24,55102.569160215004
2018,4.0,3,2018-03-01,Actual,BCCA FOBO,FOBO BU,Europe,Uzbekistan,L3_34,5671.243298838348
2018,4.0,3,2018-03-01,Actual,BCCA FOBO,FOBO BU,Europe,Uzbekistan,L3_956,63757.37039724416
2018,4.0,3,2018-03-01,Actual,CE FOBO,FOBO BU,Europe,Westbank,L3_1233,62505.40671912535
2018,4.0,3,2018-03-01,Actual,CE FOBO,FOBO BU,Europe,Westbank,L3_2198,45071.643431276556
2018,4.0,3,2018-03-01,Actual,CE FOBO,FOBO BU,Europe,Westbank,L3_24,41464.42836713561
2018,4.0,3,2018-03-01,Actual,CE FOBO,FOBO BU,Europe,Westbank,L3_26,822.9484406810706
2017,5.0,4,2017-04-01,Actual,CE FOBO,FOBO BU,Europe,Albania,L3_1233,48584.47514318119
2017,5.0,4,2017-04-01,Actual,CE FOBO,FOBO BU,Europe,Albania,L3_1259,-144.08994526357313
2017,5.0,4,2017-04-01,Actual,CE FOBO,FOBO BU,Europe,Albania,L3_24,4459.476023754341
2017,5.0,4,2017-04-01,Actual,CE FOBO,FOBO BU,Europe,Albania,L3_837,80007.79131120861
2017,5.0,4,2017-04-01,Actual,CE FOBO,FOBO BU,Europe,Albania,L3_956,23820.87028805309
2018,5.0,4,2018-04-01,Actual,CE FOBO,FOBO BU,Europe,Albania,L3_1233,59959.17310042761
2018,5.0,4,2018-04-01,Actual,CE FOBO,FOBO BU,Europe,Albania,L3_1259,3184.6878896536177
2018,5.0,4,2018-04-01,Actual,CE FOBO,FOBO BU,Europe,Albania,L3_24,6636.91855755074
2018,5.0,4,2018-04-01,Actual,CE FOBO,FOBO BU,Europe,Albania,L3_837,91047.3783576254
2018,5.0,4,2018-04-01,Actual,CE FOBO,FOBO BU,Europe,Albania,L3_956,26996.893337935795
2017,5.0,4,2017-04-01,Actual,BCCA FOBO,FOBO BU,Europe,Armenia,L3_101,1138.0527357646545
2017,5.0,4,2017-04-01,Actual,BCCA FOBO,FOBO BU,Europe,Armenia,L3_1233,76124.99207484166
2017,5.0,4,2017-04-01,Actual,BCCA FOBO,FOBO BU,Europe,Armenia,L3_1259,5.114368840390834
2017,5.0,4,2017-04-01,Actual,BCCA FOBO,FOBO BU,Europe,Armenia,L3_2198,16180.299113086727
2017,5.0,4,2017-04-01,Actual,BCCA FOBO,FOBO BU,Europe,Armenia,L3_24,6407.247469232774
2017,5.0,4,2017-04-01,Actual,BCCA FOBO,FOBO BU,Europe,Armenia,L3_410,3486.520186258832
2017,5.0,4,2017-04-01,Actual,BCCA FOBO,FOBO BU,Europe,Armenia,L3_956,1026.0438314089874
2018,5.0,4,2018-04-01,Actual,BCCA FOBO,FOBO BU,Europe,Armenia,L3_101,1361.0138566990483
2018,5.0,4,2018-04-01,Actual,BCCA FOBO,FOBO BU,Europe,Armenia,L3_1233,68193.06390143218
2018,5.0,4,2018-04-01,Actual,BCCA FOBO,FOBO BU,Europe,Armenia,L3_1259,25868.157066071166
2018,5.0,4,2018-04-01,Actual,BCCA FOBO,FOBO BU,Europe,Armenia,L3_2198,17553.486012976125
2018,5.0,4,2018-04-01,Actual,BCCA FOBO,FOBO BU,Europe,Armenia,L3_24,5864.997569618114
2018,5.0,4,2018-04-01,Actual,BCCA FOBO,FOBO BU,Europe,Armenia,L3_410,185.80797869717443
2017,5.0,4,2017-04-01,Actual,CE FOBO,FOBO BU,Europe,Austria,L3_1233,184697.73093911362
2017,5.0,4,2017-04-01,Actual,CE FOBO,FOBO BU,Europe,Austria,L3_2198,4643.410142793741
2017,5.0,4,2017-04-01,Actual,CE FOBO,FOBO BU,Europe,Austria,L3_24,19224.13052207421
2017,5.0,4,2017-04-01,Actual,CE FOBO,FOBO BU,Europe,Austria,L3_410,41396.356540545115
2018,5.0,4,2018-04-01,Actual,CE FOBO,FOBO BU,Europe,Austria,L3_1233,193630.51150732988
2018,5.0,4,2018-04-01,Actual,CE FOBO,FOBO BU,Europe,Austria,L3_2198,4313.399505470121
2018,5.0,4,2018-04-01,Actual,CE FOBO,FOBO BU,Europe,Austria,L3_24,13712.137115805936
2018,5.0,4,2018-04-01,Actual,CE FOBO,FOBO BU,Europe,Austria,L3_410,20448.00743908195
2017,5.0,4,2017-04-01,Actual,BCCA FOBO,FOBO BU,Europe,Azerbaijan,L3_1077,11950.06040520454
2017,5.0,4,2017-04-01,Actual,BCCA FOBO,FOBO BU,Europe,Azerbaijan,L3_1233,196893.61435087668
2017,5.0,4,2017-04-01,Actual,BCCA FOBO,FOBO BU,Europe,Azerbaijan,L3_1259,7039.679889470459
2017,5.0,4,2017-04-01,Actual,BCCA FOBO,FOBO BU,Europe,Azerbaijan,L3_2198,75685.63072199115
2017,5.0,4,2017-04-01,Actual,BCCA FOBO,FOBO BU,Europe,Azerbaijan,L3_24,13491.208339732164
2017,5.0,4,2017-04-01,Actual,BCCA FOBO,FOBO BU,Europe,Azerbaijan,L3_410,13126.63094688594
2017,5.0,4,2017-04-01,Actual,BCCA FOBO,FOBO BU,Europe,Azerbaijan,L3_956,6699.16433608307
2017,5.0,4,2017-04-01,Actual,BCCA FOBO,FOBO BU,Europe,Azerbaijan,L3_97,20473.689768444485
2018,5.0,4,2018-04-01,Actual,BCCA FOBO,FOBO BU,Europe,Azerbaijan,L3_1077,9742.66130338915
2018,5.0,4,2018-04-01,Actual,BCCA FOBO,FOBO BU,Europe,Azerbaijan,L3_1233,231326.3685867858
2018,5.0,4,2018-04-01,Actual,BCCA FOBO,FOBO BU,Europe,Azerbaijan,L3_1259,31872.873415848906
2018,5.0,4,2018-04-01,Actual,BCCA FOBO,FOBO BU,Europe,Azerbaijan,L3_2198,64388.25526758858
2018,5.0,4,2018-04-01,Actual,BCCA FOBO,FOBO BU,Europe,Azerbaijan,L3_24,11953.569139081248
2018,5.0,4,2018-04-01,Actual,BCCA FOBO,FOBO BU,Europe,Azerbaijan,L3_410,6314.7661549949635
2018,5.0,4,2018-04-01,Actual,BCCA FOBO,FOBO BU,Europe,Azerbaijan,L3_97,9841.989954421533
2017,5.0,4,2017-04-01,Actual,BCCA FOBO,FOBO BU,Europe,Belarus,L3_1233,183547.19519841074
2017,5.0,4,2017-04-01,Actual,BCCA FOBO,FOBO BU,Europe,Belarus,L3_2198,31945.784872457785
2017,5.0,4,2017-04-01,Actual,BCCA FOBO,FOBO BU,Europe,Belarus,L3_24,31672.102738230256
2018,5.0,4,2018-04-01,Actual,BCCA FOBO,FOBO BU,Europe,Belarus,L3_1233,263522.60959613393
2018,5.0,4,2018-04-01,Actual,BCCA FOBO,FOBO BU,Europe,Belarus,L3_1259,93170.27466837615
2018,5.0,4,2018-04-01,Actual,BCCA FOBO,FOBO BU,Europe,Belarus,L3_2198,41504.58250265933
2018,5.0,4,2018-04-01,Actual,BCCA FOBO,FOBO BU,Europe,Belarus,L3_24,36689.78464703106
2017,5.0,4,2017-04-01,Actual,Belgium,NE,Europe,Belgium,L3_1233,30415.553035159526
2017,5.0,4,2017-04-01,Actual,Belgium,NE,Europe,Belgium,L3_1259,25621.55079498144
2017,5.0,4,2017-04-01,Actual,Belgium,NE,Europe,Belgium,L3_24,379.3931794326291
2017,5.0,4,2017-04-01,Actual,Belgium,NE,Europe,Belgium,L3_956,1305473.491225969
2018,5.0,4,2018-04-01,Actual,Belgium,NE,Europe,Belgium,L3_1233,32705.247511500285
2018,5.0,4,2018-04-01,Actual,Belgium,NE,Europe,Belgium,L3_1259,29691.00336026713
2018,5.0,4,2018-04-01,Actual,Belgium,NE,Europe,Belgium,L3_24,509.11217092981485
2018,5.0,4,2018-04-01,Actual,Belgium,NE,Europe,Belgium,L3_956,1405960.1763406359
2017,5.0,4,2017-04-01,Actual,CE FOBO,FOBO BU,Europe,Bulgaria,L3_1233,319259.60353074607
2017,5.0,4,2017-04-01,Actual,CE FOBO,FOBO BU,Europe,Bulgaria,L3_1259,31669.281381865825
2017,5.0,4,2017-04-01,Actual,CE FOBO,FOBO BU,Europe,Bulgaria,L3_2198,125859.77753200004
2017,5.0,4,2017-04-01,Actual,CE FOBO,FOBO BU,Europe,Bulgaria,L3_24,41127.175896247354
2017,5.0,4,2017-04-01,Actual,CE FOBO,FOBO BU,Europe,Bulgaria,L3_3190,14613.991955083724
2017,5.0,4,2017-04-01,Actual,CE FOBO,FOBO BU,Europe,Bulgaria,L3_410,16837.79138165449
2017,5.0,4,2017-04-01,Actual,CE FOBO,FOBO BU,Europe,Bulgaria,L3_956,11557.522560284036
2018,5.0,4,2018-04-01,Actual,CE FOBO,FOBO BU,Europe,Bulgaria,L3_1233,457242.3478193487
2018,5.0,4,2018-04-01,Actual,CE FOBO,FOBO BU,Europe,Bulgaria,L3_1259,72191.19708635958
2018,5.0,4,2018-04-01,Actual,CE FOBO,FOBO BU,Europe,Bulgaria,L3_2198,94302.40995258994
2018,5.0,4,2018-04-01,Actual,CE FOBO,FOBO BU,Europe,Bulgaria,L3_24,44347.896839094625
2018,5.0,4,2018-04-01,Actual,CE FOBO,FOBO BU,Europe,Bulgaria,L3_3190,17291.110437961863
2018,5.0,4,2018-04-01,Actual,CE FOBO,FOBO BU,Europe,Bulgaria,L3_410,17815.755919212697
2018,5.0,4,2018-04-01,Actual,CE FOBO,FOBO BU,Europe,Bulgaria,L3_956,19932.301536424027
2017,5.0,4,2017-04-01,Actual,CE FOBO,FOBO BU,Europe,Croatia,L3_1233,67088.98015540355
2017,5.0,4,2017-04-01,Actual,CE FOBO,FOBO BU,Europe,Croatia,L3_2198,4769.88862510831
2017,5.0,4,2017-04-01,Actual,CE FOBO,FOBO BU,Europe,Croatia,L3_24,1812.9239959740196
2017,5.0,4,2017-04-01,Actual,CE FOBO,FOBO BU,Europe,Croatia,L3_410,992.2298225468994
2018,5.0,4,2018-04-01,Actual,CE FOBO,FOBO BU,Europe,Croatia,L3_1233,78403.92242502449
2018,5.0,4,2018-04-01,Actual,CE FOBO,FOBO BU,Europe,Croatia,L3_1259,6125.647221256332
2018,5.0,4,2018-04-01,Actual,CE FOBO,FOBO BU,Europe,Croatia,L3_2198,11397.082132853833
2018,5.0,4,2018-04-01,Actual,CE FOBO,FOBO BU,Europe,Croatia,L3_24,6096.736243721514
2017,5.0,4,2017-04-01,Actual,CE FOBO,FOBO BU,Europe,Cyprus,L3_1233,65534.042957880425
2017,5.0,4,2017-04-01,Actual,CE FOBO,FOBO BU,Europe,Cyprus,L3_1259,13447.014152571626
2017,5.0,4,2017-04-01,Actual,CE FOBO,FOBO BU,Europe,Cyprus,L3_2198,729.114566088776
2017,5.0,4,2017-04-01,Actual,CE FOBO,FOBO BU,Europe,Cyprus,L3_24,88477.03113002192
2017,5.0,4,2017-04-01,Actual,CE FOBO,FOBO BU,Europe,Cyprus,L3_26,32888.2799236367
2017,5.0,4,2017-04-01,Actual,CE FOBO,FOBO BU,Europe,Cyprus,L3_410,7049.8827076567595
2017,5.0,4,2017-04-01,Actual,CE FOBO,FOBO BU,Europe,Cyprus,L3_4445,11490.687058392567
2017,5.0,4,2017-04-01,Actual,CE FOBO,FOBO BU,Europe,Cyprus,L3_4506,3443.877551020408
2017,5.0,4,2017-04-01,Actual,CE FOBO,FOBO BU,Europe,Cyprus,L3_4507,15085.142617626962
2017,5.0,4,2017-04-01,Actual,CE FOBO,FOBO BU,Europe,Cyprus,L3_837,33709.932160820834
2017,5.0,4,2017-04-01,Actual,CE FOBO,FOBO BU,Europe,Cyprus,L3_956,25977.168499432908
2018,5.0,4,2018-04-01,Actual,CE FOBO,FOBO BU,Europe,Cyprus,L3_1233,73751.65019407832
2018,5.0,4,2018-04-01,Actual,CE FOBO,FOBO BU,Europe,Cyprus,L3_1259,15055.504286630083
2018,5.0,4,2018-04-01,Actual,CE FOBO,FOBO BU,Europe,Cyprus,L3_2198,1467.739322170014
2018,5.0,4,2018-04-01,Actual,CE FOBO,FOBO BU,Europe,Cyprus,L3_24,90875.72647284665
2018,5.0,4,2018-04-01,Actual,CE FOBO,FOBO BU,Europe,Cyprus,L3_26,37573.323564841885
2018,5.0,4,2018-04-01,Actual,CE FOBO,FOBO BU,Europe,Cyprus,L3_410,7094.094524243939
2018,5.0,4,2018-04-01,Actual,CE FOBO,FOBO BU,Europe,Cyprus,L3_4445,9942.507379202974
2018,5.0,4,2018-04-01,Actual,CE FOBO,FOBO BU,Europe,Cyprus,L3_4506,2658.098102893211
2018,5.0,4,2018-04-01,Actual,CE FOBO,FOBO BU,Europe,Cyprus,L3_4507,12960.143498200106
2018,5.0,4,2018-04-01,Actual,CE FOBO,FOBO BU,Europe,Cyprus,L3_837,36567.103197889446
2018,5.0,4,2018-04-01,Actual,CE FOBO,FOBO BU,Europe,Cyprus,L3_956,42456.59478841589
2017,5.0,4,2017-04-01,Actual,NE FOBO,FOBO BU,Europe,Denmark,L3_1077,26119.631145815867
2017,5.0,4,2017-04-01,Actual,NE FOBO,FOBO BU,Europe,Denmark,L3_1233,287559.6500263468
